# Star names from the IAU Catalog of Star Names (IAU-CSN).
# Source:   https://www.pas.rochester.edu/~emamajek/WGSN/IAU-CSN.txt
# Authority: IAU Division C Working Group on Star Names (WGSN)
#           https://www.iau.org/science/scientific_bodies/working_groups/280/
# License:  Creative Commons Attribution (CC BY) — IAU-produced products are
#           free to use in perpetuity, world-wide, provided the source is cited.
# Modified: reduced to four columns (Name/ASCII, Designation, Con, Date) and
#           reformatted as CSV. No names, designations or dates were altered.
# Catalogue edition: 2022-04-04
# Extracted: 2026-08-24
name,designation,constellation,iau_approval_date
Chason,HAT-P-5,Lyr,2019-12-17
Chechia,HD 192699,Aql,2019-12-17
Chertan,HR 4359,Leo,2016-07-20
Citadelle,HD 1502,Psc,2019-12-17
Citala,HD 52265,Mon,2019-12-17
Cocibolca,HD 4208,Scl,2019-12-17
Copernicus,HR 3522,Cnc,2015-12-15
Cor Caroli,HR 4915,CVn,2016-07-20
Cujam,HR 6117,Her,2017-02-01
Cursa,HR 1666,Eri,2016-07-20
Dabih,HR 7776,Cap,2016-08-21
Dalim,HR 963,For,2017-09-05
Deneb,HR 7924,Cyg,2016-06-30
Deneb Algedi,HR 8322,Cap,2017-02-01
Denebola,HR 4534,Leo,2016-06-30
Diadem,HR 4968,Com,2017-02-01
Dingolay,HD 96063,Leo,2019-12-17
Diphda,HR 188,Cet,2016-08-21
Diwo,WASP-17,Sco,2019-12-17
Diya,WASP-72,For,2019-12-17
Dofida,HD 117618,Cen,2019-12-17
Dombay,HAT-P-3,UMa,2019-12-17
Dschubba,HR 5953,Sco,2016-08-21
Dubhe,HR 4301,UMa,2016-06-30
Dziban,HR 6636,Dra,2017-09-05
Ebla,HD 218566,Psc,2019-12-17
Edasich,HR 5744,Dra,2015-12-15
Electra,HR 1142,Tau,2016-08-21
Elgafar,HR 5409,Vir,2018-06-01
Elkurud,HR 2177,Col,2018-06-01
Elnath,HR 1791,Tau,2016-07-20
Eltanin,HR 6705,Dra,2016-08-21
Emiw,HD 7199,Tuc,2019-12-17
Enif,HR 8308,Peg,2016-07-20
Errai,HR 8974,Cep,2015-12-15
Fafnir,HR 6945,Dra,2015-12-15
Fang,HR 5944,Sco,2017-06-30
Fawaris,HR 7528,Cyg,2018-06-01
Felis,HR 3923,Hya,2018-06-01
Felixvarela,BD-17 63,Cet,2019-12-17
Flegetonte,HD 102195,Vir,2019-12-17
Fomalhaut,HR 8728,PsA,2015-12-15
Formosa,HD 100655,Leo,2019-12-17
Franz,HAT-P-14,Her,2019-12-17
Fulu,HR 153,Cas,2017-06-30
Fumalsamakah,HR 8773,Psc,2018-06-01
Funi,HD 109246,Dra,2019-12-17
Furud,HR 2282,CMa,2016-07-20
Fuyue,HR 6630,Sco,2017-06-30
Gacrux,HR 4763,Cru,2016-07-20
Gakyid,HD 73534,Cnc,2019-12-17
Geminga,PSR B0633+17,Gem,2022-04-04
Giausar,HR 4434,Dra,2017-02-01
Gienah,HR 4662,Crv,2016-11-06
Ginan,HR 4700,Cru,2017-11-17
Gloas,WASP-13,Lyn,2019-12-17
Gomeisa,HR 2845,CMi,2016-07-20
Grumium,HR 6688,Dra,2016-09-12
Gudja,HR 5879,Ser,2018-08-10
Gumala,HD 179949,Sgr,2019-12-17
Guniibuu,HR 6402,Oph,2018-08-10
Hadar,HR 5267,Cen,2016-08-21
Haedus,HR 1641,Aur,2017-06-30
Hamal,HR 617,Ari,2016-07-20
Hassaleh,HR 1577,Aur,2017-06-30
Hatysa,HR 1899,Ori,2017-09-05
Helvetios,HR 8729,Peg,2015-12-15
Heze,HR 5107,Vir,2018-06-01
Hoggar,HD 28678,Tau,2019-12-17
Homam,HR 8634,Peg,2016-08-21
Horna,HAT-P-38,Tri,2019-12-17
Hunahpu,HD 98219,Crt,2019-12-17
Hunor,HAT-P-2,Her,2019-12-17
Iklil,HR 5928,Sco,2017-09-05
Illyrian,HD 82886,LMi,2019-12-17
Imai,HR 4656,Cru,2018-08-10
Inquill,HD 156411,Ara,2019-12-17
Intan,HD 20868,For,2019-12-17
Intercrus,HR 3743,UMa,2015-12-15
Irena,WASP-38,Her,2019-12-17
Itonda,HD 208487,Gru,2019-12-17
Izar,HR 5506,Boo,2016-08-21
Jabbah,HR 6027,Sco,2017-06-30
Jishui,HR 2930,Gem,2017-06-30
Kaffaljidhma,HR 804,Cet,2017-02-01
Kalausi,HD 83443,Vel,2019-12-17
Kamuy,HD 145457,CrB,2019-12-17
Kang,HR 5315,Vir,2017-06-30
Karaka,HD 137388,Aps,2019-12-17
Kaus Australis,HR 6879,Sgr,2016-07-20
Kaus Borealis,HR 6913,Sgr,2016-07-20
Kaus Media,HR 6859,Sgr,2016-07-20
Kaveh,HD 175541,Ser,2019-12-17
Keid,HR 1325,Eri,2016-09-12
Khambalia,HR 5359,Vir,2017-09-05
Kitalpha,HR 8131,Equ,2016-08-21
Kochab,HR 5563,UMi,2016-07-20
Koeia,HIP 12961,Eri,2019-12-17
Koit,XO-4,Lyn,2019-12-17
Kornephoros,HR 6148,Her,2016-08-21
Kraz,HR 4786,Crv,2018-06-01
Kurhah,HR 8417,Cep,2016-09-12
La Superba,HR 4846,CVn,2018-08-10
Larawag,HR 6241,Sco,2017-11-17
Lerna,HAT-P-42,Hya,2019-12-17
Lesath,HR 6508,Sco,2016-08-21
Libertas,HR 7595,Aql,2015-12-15
Lich,PSR B1257+12,Vir,2015-12-15
Liesma,HD 118203,UMa,2019-12-17
Lilii Borea,HR 824,Ari,2017-09-05
Lionrock,HD 212771,Aqr,2019-12-17
Lucilinburhuc,HD 45350,Aur,2019-12-17
Lusitania,HD 45652,Mon,2019-12-17
Maasym,HR 6526,Her,2016-09-12
Macondo,HD 93083,Ant,2019-12-17
Mago,HD 32518,Cam,2019-12-17
Mahasim,HR 2095,Aur,2017-06-30
Mahsati,HD 152581,Oph,2019-12-17
Maia,HR 1149,Tau,2016-07-20
Malmok,WASP-39,Vir,2019-12-17
Marfik,HR 6149,Oph,2016-09-12
Markab,HR 8781,Peg,2016-06-30
Markeb,HR 3734,Vel,2017-09-05
Marohu,WASP-6,Aqr,2019-12-17
Marsic,HR 6008,Her,2017-02-01
Matar,HR 8650,Peg,2016-08-21
Mazaalai,HAT-P-21,UMa,2020-03-01
Mebsuta,HR 2473,Gem,2016-07-20
Megrez,HR 4660,UMa,2016-06-30
Meissa,HR 1879,Ori,2016-07-20
Mekbuda,HR 2650,Gem,2016-09-12
Meleph,HR 3429,Cnc,2017-09-05
Menkalinan,HR 2088,Aur,2016-07-20
Menkar,HR 911,Cet,2016-06-30
Menkent,HR 5288,Cen,2016-08-21
Menkib,HR 1228,Per,2016-09-12
Merak,HR 4295,UMa,2016-06-30
Merga,HR 5533,Boo,2016-09-12
Meridiana,HR 7254,CrA,2017-09-05
Merope,HR 1156,Tau,2016-07-20
Mesarthim,HR 546,Ari,2016-08-21
Miaplacidus,HR 3685,Car,2016-07-20
Mimosa,HR 4853,Cru,2016-07-20
Minchir,HR 3418,Hya,2017-09-05
Minelauva,HR 4910,Vir,2017-06-30
Mintaka,HR 1852,Ori,2016-07-20
Mira,HR 681,Cet,2016-06-30
Mirach,HR 337,And,2016-06-30
Miram,HR 834,Per,2017-09-05
Mirfak,HR 1017,Per,2016-07-20
Mirzam,HR 2294,CMa,2016-07-20
Misam,HR 941,Per,2017-09-05
Mizar,HR 5054,UMa,2016-06-30
Moldoveanu,XO-1,CrB,2019-12-17
Monch,HD 130322,Vir,2019-12-17
Montuno,WASP-79,Eri,2019-12-17
Morava,WASP-60,Peg,2019-12-17
Moriah,HAT-P-23,Del,2019-12-17
Mothallah,HR 544,Tri,2016-08-21
Mouhoun,HD 30856,Eri,2019-12-17
Mpingo,WASP-71,Cet,2019-12-17
Muliphein,HR 2657,CMa,2016-08-21
Muphrid,HR 5235,Boo,2016-09-12
Muscida,HR 3323,UMa,2016-07-20
Musica,HR 8030,Del,2015-12-15
Muspelheim,HAT-P-29,Per,2019-12-17
Nahn,HR 3627,Cnc,2018-06-01
Naledi,WASP-62,Dor,2019-12-17
Naos,HR 3165,Pup,2016-08-21
Nashira,HR 8278,Cap,2016-08-21
Nasti,HD 68988,UMa,2019-12-17
Natasha,HD 85390,Vel,2019-12-17
Nekkar,HR 5602,Boo,2016-08-21
Nembus,HR 464,And,2017-09-05
Nenque,HD 6434,Phe,2019-12-17
Nervia,HD 49674,Aur,2019-12-17
Nganurganity,HR 2646,CMa,2017-09-05
Nihal,HR 1829,Lep,2016-07-20
Nikawiy,HD 136418,Boo,2019-12-17
Nosaxa,HD 48265,Pup,2019-12-17
Nunki,HR 7121,Sgr,2016-08-21
Nusakan,HR 5747,CrB,2016-09-12
Nushagak,HD 17156,Cas,2019-12-17
Nyamien,WASP-15,Cen,2019-12-17
Ogma,HD 149026,Her,2015-12-15
Okab,HR 7235,Aql,2018-06-01
Paikauhale,HR 6165,Sco,2018-08-10
Parumleo,WASP-32,Psc,2019-12-17
Peacock,HR 7790,Pav,2016-07-20
Petra,WASP-80,Aql,2019-12-17
Phact,HR 1956,Col,2016-07-20
